url,title,editor,publication_model,impact_factor,impact_factor_year,impact_factor_5_years,impact_factor_5_years_year,downloads,downloads_year,journal_cover,latest_issue_cover,issn_electronic,issn_print,is_parsable
https://link.springer.com/journal/12598,Rare Metals,Hai-Ling Tu,Hybrid,6.318,2021.0,6.318,2021.0,231045.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/12598.jpg,https://media.springernature.com/w92/springer-static/cover/journal/12598/41/9.jpg,1867-7185,1001-0521,True
https://link.springer.com/journal/42864,Tungsten,Bin Yang,Hybrid,,,,,33909.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/42864.jpg,https://media.springernature.com/w92/springer-static/cover/journal/42864/4/3.jpg,2661-8036,2661-8028,True
https://link.springer.com/journal/40195,Acta Metallurgica Sinica (English Letters),Hengqiang YE,HybridTransformativeJournal,3.024,2021.0,3.024,2021.0,108439.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/40195.jpg,https://media.springernature.com/w92/springer-static/cover/journal/40195/35/9.jpg,2194-1289,1006-7191,True
https://link.springer.com/journal/10971,Journal of Sol-Gel Science and Technology,Michel A. Aegerter,HybridTransformativeJournal,2.606,2021.0,2.606,2021.0,337732.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/10971.jpg,https://media.springernature.com/w92/springer-static/cover/journal/10971/103/3.jpg,1573-4846,0928-0707,True
https://link.springer.com/journal/12613,"International Journal of Minerals, Metallurgy and Materials",Ai-xiang Wu,HybridTransformativeJournal,3.85,2021.0,3.85,2021.0,66694.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/12613.jpg,https://media.springernature.com/w92/springer-static/cover/journal/12613/29/9.jpg,1869-103X,1674-4799,True
https://link.springer.com/journal/40089,International Nano Letters,Atefeh Ghaderi,HybridTransformativeJournal,,,,,216495.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/40089.jpg,https://media.springernature.com/w92/springer-static/cover/journal/40089/12/3.jpg,2228-5326,,True
https://link.springer.com/journal/11664,Journal of Electronic Materials,Shadi Shahedipour-Sandvik,Hybrid,2.047,2021.0,2.047,2021.0,398486.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11664.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11664/51/9.jpg,,,True
https://link.springer.com/journal/40204,Progress in Biomaterials,Hamid Mirzadeh,HybridTransformativeJournal,4.878,2021.0,4.878,2021.0,109545.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/40204.jpg,https://media.springernature.com/w92/springer-static/cover/journal/40204/11/3.jpg,2194-0517,,True
https://link.springer.com/journal/40870,Journal of Dynamic Behavior of Materials,Jennifer Jordan,HybridTransformativeJournal,,,,,74754.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/40870.jpg,https://media.springernature.com/w92/springer-static/cover/journal/40870/8/3.jpg,2199-7454,2199-7446,True
https://link.springer.com/journal/11661,Metallurgical and Materials Transactions A,Tresa M. Pollock,Hybrid,2.726,2021.0,2.726,2021.0,1131009.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11661.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11661/53/9.jpg,,,True
